0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
-120.0,-21.166271767616273,-21.52626296043396,-21.746255540847777,-24.306248126029967,-26.18630383014679,-26.826260213851928,-28.846462430953977,-29.026272592544558,-30.92627631187439,-31.72625250339508,-34.0862596321106,-35.246258816719056,-37.706288499832155,-37.826282420158385,-41.18625098228455,-43.267244172096255,-45.48626715660095,-45.88626286029816,-48.68624645709991,-49.0462553358078,-51.62645683765412,-51.96624782562256,-54.366250491142274,-56.62625126361847,-58.96640654563904,-59.766283812522886,-62.226270670890806,-62.307241015434265,-65.10631553649903,-65.50626778125763
-120.0,-21.40626405239105,-21.946504559516907,-23.506260228157043,-24.42627737045288,-26.00627651691437,-26.766261625289918,-28.506284656524656,-29.307138929367063,-30.82628004074097,-32.1462610912323,-33.9262743139267,-35.44631292819977,-37.486271381378174,-38.70625877380371,-41.02625102519989,-43.36726418018341,-45.42627060890197,-46.40625858306885,-48.32625762462616,-49.18625176906586,-51.52649364948273,-52.12642848968506,-54.20625688076019,-56.66628276348114,-58.84625344753265,-59.88625640869141,-61.96625075817108,-62.60626022815704,-64.68626558303833,-65.74627502441406
-120.0,-21.026247577667235,-120.0,-23.48629515647888,-120.0,-25.966277551651,-26.86636323451996,-28.48626399040222,-29.326275119781492,-30.806534991264343,-32.306273102760315,-33.90625486850739,-120.0,-37.46627779483795,-38.726259694099426,-41.0062661075592,-43.386282911300654,-45.38629518508911,-46.42649082660675,-48.306255407333374,-49.206269726753234,-51.48625063896179,-52.147126927375794,-54.18628297328949,-56.68637779712677,-58.8262825012207,-59.906255478858945,-61.94628340244293,-62.626243720054624,-64.66624735355377,-65.76625921726227
-120.0,-20.010073080062867,-21.966254806518556,-23.466272292137145,-24.446282453536988,-120.0,-120.0,-28.46627044200897,-120.0,-30.7862526512146,-120.0,-33.88629790782929,-35.466282134056094,-37.446342658996585,-38.7662572145462,-40.98628483772278,-43.406253638267515,-45.3662775182724,-46.44627462387085,-48.28626192569733,-49.2262784910202,-51.46626886844635,-52.16626226902008,-54.1664377784729,-56.706493210792544,-58.80626688480377,-59.926263933181765,-61.92647995471955,-62.646254410743715,-64.64712920665741,-65.80660084247589
-120.0,-20.046267213821412,-120.0,-23.446311140060423,-120.0,-25.947242283821105,-26.88628300189972,-28.446298694610597,-29.346263551712035,-120.0,-32.32719986438751,-33.86630610942841,-35.486262907981875,-37.40626972675324,-38.786250009536744,-40.96625050067902,-43.42626620769501,-45.34625923156739,-46.466292982101436,-48.26636140346527,-49.24629672527313,-51.447282562255864,-52.18642404079437,-54.12625111103058,-56.72624975204468,-58.786254215240476,-59.94629041194916,-61.90715934753418,-62.666276903152465,-64.62628339767457,-65.82628642082214
-120.0,-20.9662726688385,-120.0,-23.42626123905182,-24.46641050338745,-25.926256771087647,-120.0,-28.426255831718443,-120.0,-30.766256494522096,-120.0,-120.0,-120.0,-37.386293191909786,-38.80644219875336,-40.9462592458725,-43.44626511096955,-45.32625755310059,-46.486298785209655,-48.24642377853394,-49.266301131248476,-51.426264243125914,-52.20625208377838,-54.10628270626068,-56.746282925605776,-58.76638020515442,-59.967126393318175,-61.886256494522094,-62.686257886886594,-120.0,-65.84626149654389
-120.0,-20.066256370544433,-120.0,-22.006268248558044,-120.0,-25.906325607299806,-120.0,-120.0,-29.366261415481567,-30.746284012794497,-32.34653382778168,-33.84625957489014,-35.5063940858841,-37.36641414165497,-38.826282639503475,-40.926265540122984,-43.46713882923126,-45.30630023479462,-46.50628316402435,-48.22624855518341,-49.28631429672241,-51.40630860805511,-52.22624728679657,-54.08626657962799,-56.76652339458465,-58.74628424167633,-59.986258811950684,-61.866276965141296,-62.706283254623415,-64.58625477313996,-65.86625529766083
-67.72659647464752,-67.62638751983643,-67.54632631778716,-23.406254892349242,-120.0,-25.886270184516906,-26.906307792663576,-28.40627595424652,-120.0,-30.726262888908387,-120.0,-33.82624872684479,-120.0,-37.34626219272614,-38.86625004768372,-120.0,-43.486258020400996,-45.286282868385314,-46.526253147125246,-48.2062611579895,-49.30632081985473,-51.38634227275848,-52.24640254974365,-54.06625841140747,-56.78625862121582,-58.726259436607364,-60.00628561019897,-61.84627425670624,-62.726277627944945,-64.5662706041336,-65.88625347614288
-67.8065139245987,-20.92635615825653,-120.0,-23.38627417564392,-67.48625102043152,-24.486257553100586,-120.0,-120.0,-28.386477184295654,-30.706255683898924,-120.0,-33.8062520980835,-35.52627602577209,-37.30625909328461,-38.88626235485077,-40.90629511833191,-43.506282982826235,-45.26646373271942,-46.54714564323425,-48.18628331661225,-49.32628321647644,-51.366263465881346,-52.26628303527832,-54.04625774383545,-56.80650189399719,-58.686242108345034,-60.026291065216064,-61.826257557868956,-62.746276664733884,-64.5471389913559,-65.90627483367919
-67.82640187263489,-20.906287364959717,-20.086482801437377,-23.366277956962584,-120.0,-25.866252250671387,-120.0,-120.0,-29.3863108253479,-120.0,-32.36625443458557,-33.786278204917906,-35.54628248214722,-37.28632835865021,-38.90627526283264,-40.8862832403183,-43.526270041465764,-45.246272091865535,-120.0,-48.16627335548401,-49.34625280857087,-51.347134432792664,-52.28626132488251,-54.0263036775589,-56.82631694316864,-58.66639850616455,-60.04626665592193,-61.80713990211487,-62.766347680091854,-64.52626245498658,-65.92626249313355
-67.84626208782197,-120.0,-22.046256437301636,-120.0,-120.0,-25.84722927570343,-67.42625795841218,-67.4062538433075,-120.0,-30.68627248764038,-120.0,-120.0,-120.0,-37.267237582206725,-38.92625420093536,-40.86649720191956,-43.54629712104797,-45.20628220081329,-46.56626528263092,-48.14639327526093,-49.36624950408935,-51.306253695487975,-52.306269240379336,-54.00626860141754,-56.84643414020538,-58.646276521682736,-60.06626153945923,-61.766256465911866,-62.78626648902893,-64.5062717628479,-65.94625565052033
-67.86626368522644,-120.0,-120.0,-23.34626413822174,-120.0,-120.0,-120.0,-67.38624517440796,-29.406273126602173,-30.666277160644533,-120.0,-33.766266040802,-35.56625933647156,-37.246269903182984,-38.96625893115997,-40.846259207725524,-43.56649470329285,-45.186269741058354,-46.586415128707884,-48.12702600955963,-49.38628096103668,-51.286262054443355,-52.326283025741574,-53.98625671863556,-56.867141404151916,-58.62625427246094,-60.08626525402069,-61.746257166862485,-62.80625032424927,-64.48626039981842,-65.96625756263734
-67.88625590324402,-20.866326251029967,-120.0,-23.32627091407776,-120.0,-25.82634027481079,-120.0,-120.0,-67.34626348495483,-120.0,-120.0,-33.746390390396115,-120.0,-37.22625946998596,-38.98627921104431,-120.0,-43.586253695487976,-120.0,-46.60625308036804,-48.10631348133087,-49.40629829406738,-51.26625118732453,-52.34630246162415,-53.96632256031037,-56.886253256797794,-58.6062541103363,-60.10644362926483,-61.72625614643097,-62.82628203868866,-64.46636220932007,-65.98628311634064
-67.90628317832946,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-28.32627788066864,-67.32624962329865,-32.38626583099365,-120.0,-35.586269025802615,-37.186251745224,-39.006259655952455,-40.82624634742737,-43.60625177383423,-45.167266035079955,-46.6262553691864,-48.08625328540802,-49.426255788803104,-51.24724282741546,-52.366254510879514,-53.946283040046694,-56.90633638858795,-58.586522254943844,-60.126259446144104,-61.70714014530182,-62.84625709533692,-64.44714535713196,-66.00626649856568
-67.92718051910401,-120.0,-120.0,-22.086263394355775,-120.0,-25.80627254009247,-26.94651039123535,-120.0,-29.426262555122378,-30.64625726699829,-67.28625440597534,-33.726338939666746,-35.606270861625674,-37.16640473365784,-39.02624928474427,-40.806263422966005,-43.62628580570221,-45.14652256011963,-46.64725355625153,-48.06625559806824,-49.46628200054168,-51.22627613544464,-52.4062694978714,-53.92625647068024,-56.92638461112976,-58.56641196250916,-60.14626328468323,-61.686431427001956,-62.86625394821167,-64.4262536096573,-66.0262634420395
-67.94639863014221,-20.126261172294615,-20.846257667541504,-120.0,-23.306282258033754,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-33.7062820148468,-67.24624203681947,-37.146283688545225,-39.046408457756044,-40.78630768299102,-43.646264696121214,-45.12625166893005,-46.66629660129547,-48.04639517307281,-49.486280722618105,-51.206457443237305,-52.42629683494568,-53.906700797080994,-56.94626235961914,-58.546257815361024,-60.1662820148468,-61.666470894813536,-62.88628305435181,-64.40625741004945,-66.04625587463379
-67.96626979351043,-120.0,-120.0,-22.10629587650299,-120.0,-120.0,-120.0,-28.306278529167173,-120.0,-120.0,-120.0,-120.0,-35.626295599937436,-37.12625927448273,-39.08625494003296,-40.766271777153015,-43.66637798309326,-45.10626048564911,-46.686514754295345,-48.02628304481506,-49.5062512922287,-51.18625524520874,-52.44630114555359,-53.88625123500824,-56.96643042564392,-58.52625512123108,-60.18628196716308,-61.646259241104126,-62.90629073619843,-64.3862699842453,-66.06625648498536
-67.98625013828277,-120.0,-120.0,-120.0,-120.0,-120.0,-26.96627085208893,-120.0,-29.446420726776125,-30.62627297878265,-32.406283011436464,-33.686271600723266,-120.0,-37.086274695396426,-39.10624970912933,-120.0,-43.68625308990478,-45.086263289451594,-46.706257433891295,-48.0062735414505,-49.52626506328583,-51.166279206275945,-52.46624746799469,-53.866276202201846,-56.98650857448578,-58.506282587051395,-60.206283164024356,-61.62628283977509,-62.92625426769256,-64.36624542713164,-66.08643097877503
-68.0062590789795,-20.146243176460267,-120.0,-23.286263179779052,-24.546265144348144,-120.0,-25.786267590522765,-120.0,-120.0,-120.0,-120.0,-120.0,-35.6462598991394,-37.067228312492375,-39.12625802516938,-67.14625558376312,-43.70628264427185,-45.06713841438294,-46.726266899108886,-47.9862521648407,-49.54628307342529,-51.147128915786745,-52.48626602172852,-53.84635539054871,-57.00626554012299,-58.48626227855682,-60.22625194072723,-61.60712924003601,-62.94625725269318,-64.3471370458603,-66.10626608371734
