0,1,2,3
-20.84615174293518,-21.046136918067933,-120.0,-120.0
-20.626140394210815,-120.0,-21.386140627861025,-120.0
-20.606155376434327,-120.0,-21.406123480796815,-120.0
-20.58615698337555,-120.0,-21.42688889980316,-120.0
-20.56611324310303,-120.0,-21.44611659526825,-120.0
-20.546124024391176,-21.466130394935607,-120.0,-120.0
-20.52615016937256,-21.486142559051515,-120.0,-120.0
-20.506117043495177,-21.506131258010864,-120.0,-120.0
-20.486123704910277,-21.52711479663849,-120.0,-120.0
-20.466115455627442,-21.54613021850586,-120.0,-120.0
-120.0,-21.566158289909364,-120.0,-120.0
-120.0,-21.586109147071838,-23.513321824073792,-120.0
-120.0,-21.606233825683592,-23.486130595207214,-120.0
-20.38611572742462,-21.6261092710495,-23.466122879981995,-120.0
-120.0,-21.646125321388244,-120.0,-23.44613953590393
-120.0,-21.66630877017975,-120.0,-23.42698763370514
-120.0,-21.686121339797975,-120.0,-23.406127076148987
-20.306123690605162,-21.706131925582884,-120.0,-23.386140422821043
-20.286140575408936,-21.726148271560668,-120.0,-23.36616140842438
-20.266123986244203,-21.746121792793275,-120.0,-23.346145358085632
-20.246106991767885,-21.766115202903748,-120.0,-120.0
-20.22612817287445,-21.78616147518158,-120.0,-23.32615626335144
-20.206157712936403,-21.806159172058106,-23.286134729385374,-120.0
-20.186122980117798,-21.826104650497438,-23.26613685131073,-120.0
-120.0,-21.84617045879364,-23.246130571365356,-120.0
-120.0,-21.866139221191407,-23.226277050971984,-120.0
-120.0,-21.886160731315613,-120.0,-23.206118726730345
-20.10613353729248,-21.906111993789672,-120.0,-23.186162767410277
-20.086113600730897,-21.926110248565674,-120.0,-23.16611478328705
-20.066132678985596,-21.966220059394836,-120.0,-23.146128940582276
-20.026147174835206,-22.266142468452454,-22.44615852355957,-23.126125946044922
