0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-21.301897778511048,-120.0,-120.0,-120.0
-120.0,-120.0,-120.0,-120.0,-24.82171483516693,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-21.27687665939331,-120.0,-120.0,-120.0,-120.0,-21.324940876960753,-120.0
-120.0,-120.0,-24.79526059627533,-120.0,-23.318591947555543,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-24.00544223308563,-120.0,-24.030251111984253,-120.0,-120.0
-120.0,-120.0,-23.291991539001465,-120.0,-21.857158842086793,-120.0,-23.346431884765625,-24.8487358045578,-120.0,-120.0,-120.0,-21.252271203994752,-120.0,-120.0,-22.530641956329347,-120.0,-120.0,-22.555115866661072,-120.0
-24.768216714859008,-25.09548254966736,-21.830941920280456,-25.147065544128417,-120.0,-120.0,-25.176604242324828,-120.0,-120.0,-25.203770489692687,-120.0,-25.28972116470337,-23.978965849876403,-120.0,-120.0,-120.0,-120.0,-21.348197507858277,-24.054807529449462
-24.681457176208497,-23.617760329246522,-24.432817349433897,-120.0,-23.673472599983214,-24.40660915374756,-120.0,-23.700024008750916,-24.379746079444885,-120.0,-23.726983189582825,-23.81272982120514,-23.839088459014892,-120.0,-120.0,-120.0,-120.0,-120.0,-22.579293179512025
-23.177403016090395,-23.007408995628357,-120.0,-22.95216088294983,-22.20145802497864,-120.0,-22.926319608688353,-22.227061796188355,-22.899438977241516,-120.0,-22.253890991210938,-21.170102128982546,-22.445953140258787,-21.399458718299865,-120.0,-120.0,-21.373332476615907,-120.0,-120.0
-21.71981955051422,-21.642692828178404,-22.17523467063904,-21.555760307312013,-20.864214215278626,-21.53000226020813,-20.889038100242615,-21.912203311920166,-21.503615851402284,-20.913569192886353,-120.0,-20.96918604850769,-120.0,-24.132533082962034,-120.0,-120.0,-120.0,-120.0,-24.079675765037535
-20.734597153663636,-120.0,-120.0,-23.430271430015566,-120.0,-23.403147616386413,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-22.65591262817383,-120.0,-120.0,-24.105375566482543,-120.0,-22.60389142990112
-20.6789200258255,-120.0,-21.96530291080475,-120.0,-120.0,-21.939259729385377,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-22.628579788208008,-120.0,-120.0,-120.0
-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0
-20.654195704460143,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0
-20.010150842666626,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0
