0,1,2,3,4,5
-120.0,-22.02614333629608,-22.566131839752195,-22.346124677658082,-25.566118278503417,-120.0
-120.0,-21.88612048149109,-22.586121020317076,-24.706153569221495,-25.226162285804747,-25.526119208335878
-120.0,-21.846160302162172,-22.606134281158447,-24.686154656410217,-25.78611751079559,-120.0
-20.066157212257384,-21.826144495010375,-22.626144161224367,-24.646141662597657,-25.806121640205383,-120.0
-120.0,-20.186115193367005,-22.646121082305907,-24.6261580657959,-25.82613437652588,-120.0
-120.0,-20.206115040779114,-22.666121382713317,-24.60617078781128,-25.84612092971802,-120.0
-120.0,-21.766281628608702,-120.0,-24.586121649742125,-25.86615547657013,-120.0
-120.0,-21.746162357330324,-22.706146240234375,-24.566109900474547,-25.886133613586427,-120.0
-120.0,-21.726117787361144,-22.746138701438902,-24.546164298057555,-25.906174349784852,-120.0
-120.0,-21.706119685173036,-22.76611741065979,-24.526115317344665,-25.926118535995485,-120.0
-120.0,-21.686316452026368,-22.786131815910338,-24.506104559898375,-120.0,-120.0
-120.0,-20.34612250804901,-22.806116652488708,-24.48611021518707,-25.946121282577515,-120.0
-120.0,-20.3663148021698,-22.82611559867859,-24.46614212989807,-25.966112275123596,-120.0
-120.0,-20.386154375076295,-22.846121163368224,-24.446122102737426,-25.98613546848297,-120.0
-120.0,-20.406153717041015,-22.866121430397033,-24.426114377975463,-26.0061191034317,-120.0
-120.0,-20.42614900112152,-22.886170272827147,-120.0,-24.40613814353943,-120.0
-120.0,-20.446237010955812,-22.906121163368226,-120.0,-24.386123266220093,-120.0
-120.0,-20.466170616149903,-22.926178822517393,-120.0,-24.366209502220155,-120.0
-120.0,-20.486174941062927,-22.946121158599855,-120.0,-24.346112394332884,-120.0
-120.0,-20.526125559806825,-22.96617438316345,-120.0,-24.326120371818543,-120.0
-120.0,-20.5461505317688,-22.986121363639832,-120.0,-24.306153779029845,-120.0
-120.0,-20.56614192008972,-23.00613296031952,-120.0,-24.28611726284027,-120.0
-120.0,-20.586138749122618,-23.026164331436156,-24.266114392280578,-26.166122064590454,-120.0
-120.0,-20.606119499206542,-23.046121492385865,-24.246133699417115,-26.186136894226074,-120.0
-120.0,-20.626153783798216,-23.066249713897705,-24.22614805698395,-26.20612117767334,-120.0
-120.0,-20.646144766807556,-23.086137919425965,-24.206201300621032,-26.226140842437744,-120.0
-120.0,-20.66614572048187,-23.1061484003067,-24.18620310306549,-26.24611315727234,-120.0
-120.0,-20.706118931770323,-23.126145133972166,-24.166213030815126,-26.266122183799745,-120.0
-120.0,-20.72612184047699,-23.14612180709839,-120.0,-26.28612126350403,-120.0
-120.0,-20.746115713119508,-23.18612120628357,-24.126134080886843,-26.306231722831726,-120.0
-120.0,-20.76628255367279,-23.206142506599427,-24.10611599445343,-26.32612226963043,-26.346118264198303
-120.0,-21.04612355232239,-21.086110610961914,-23.526132588386535,-26.36611267089844,-120.0
