0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-28.985951099395752,-28.965934233665465,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0
-120.0,-120.0,-120.0,-120.0,-29.045930061340332,-29.02591676235199,-120.0,-120.0,-28.925932121276855,-28.905974993705748,-120.0,-120.0,-120.0,-120.0,-120.0
-120.0,-120.0,-29.105931816101076,-29.085938100814822,-120.0,-120.0,-120.0,-120.0,-120.0,-28.885937342643736,-28.865929670333863,-120.0,-120.0,-120.0,-120.0
-120.0,-120.0,-29.125940766334534,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-28.825949387550352,-120.0,-120.0,-120.0
-120.0,-29.165989532470704,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-28.805937309265136,-120.0,-120.0,-120.0
-120.0,-29.185925941467286,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-28.765929479599,-120.0,-120.0,-120.0
-29.205938320159913,-120.0,-120.0,-120.0,-120.0,-22.365964932441713,-22.465936260223387,-22.766080856323242,-25.225949778556824,-25.66591410160065,-28.32595630645752,-28.605938639640808,-31.205926260948182,-31.486926522254944,-120.0
-29.225947976112366,-120.0,-120.0,-120.0,-120.0,-120.0,-21.98592174053192,-22.885939807891845,-24.58593839645386,-25.786807928085327,-27.985934205055237,-28.705926656723022,-30.965924115180968,-31.66592629432678,-120.0
-29.26591962814331,-120.0,-120.0,-120.0,-120.0,-20.01009198188782,-21.965952186584474,-22.905935015678406,-24.565941123962403,-25.805929112434388,-27.965926055908202,-120.0,-30.945938644409182,-31.685934882164002,-120.0
-120.0,-29.286141266822817,-120.0,-120.0,-120.0,-20.04593647480011,-21.94594497680664,-22.925931758880616,-24.525938329696654,-25.825971951484682,-27.945953798294067,-120.0,-30.90595600605011,-31.705951275825498,-120.0
