0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
-120.0,-120.0,-120.0,-120.0,-120.0,-20.26595419883728,-21.725933752059937,-23.16591927051544,-24.305923495292664,-26.065960192680357,-27.72592493534088,-120.0,-30.686000962257385,-31.925937008857726,-120.0
-120.0,-120.0,-120.0,-120.0,-120.0,-20.285935468673706,-21.70596471786499,-23.185938110351564,-24.285921611785888,-26.085938324928286,-27.705949454307557,-120.0,-30.6659512758255,-31.946867060661315,-120.0
-120.0,-120.0,-120.0,-120.0,-120.0,-20.30593005180359,-21.685929584503175,-23.205933699607847,-33.60593825817108,-26.105984358787538,-27.685936217308043,-120.0,-30.64592911720276,-31.96592171669006,-120.0
-120.0,-120.0,-120.0,-120.0,-120.0,-20.325934143066405,-21.665920481681823,-23.22595681667328,-29.646815700531008,-26.126112723350523,-27.66593478679657,-120.0,-30.625924201011657,-31.985929408073424,-120.0
-120.0,-120.0,-120.0,-120.0,-120.0,-20.345980768203734,-21.645928115844725,-33.56595373630524,-24.225932116508485,-26.14601182937622,-27.6460977268219,-120.0,-30.60593740463257,-32.00592936992645,-120.0
-120.0,-120.0,-120.0,-120.0,-120.0,-20.36617841720581,-21.625956325531007,-23.265937666893006,-24.205932354927064,-29.685929083824156,-27.625937986373902,-120.0,-30.585949578285216,-32.02595999240875,-120.0
-120.0,-120.0,-120.0,-120.0,-120.0,-20.385926337242125,-21.60592689037323,-23.286930747032166,-24.186097435951233,-26.185978331565856,-27.605937552452087,-120.0,-30.566071467399595,-32.046071491241456,-120.0
-120.0,-120.0,-120.0,-120.0,-120.0,-20.40617807865143,-21.585933389663698,-23.325937390327454,-24.1659237909317,-26.20595838546753,-29.74606176376343,-120.0,-30.54593349456787,-32.066098494529726,-120.0
-120.0,-120.0,-120.0,-120.0,-120.0,-20.42596538066864,-21.565937147140502,-23.34592502117157,-24.14593740940094,-26.225937356948855,-27.565937509536745,-120.0,-30.52595896720886,-32.08612593173981,-120.0
-120.0,-120.0,-120.0,-120.0,-120.0,-20.44592441558838,-21.545954728126524,-23.366061940193177,-24.12593487739563,-26.24593758583069,-27.546932287216187,-29.785948095321658,-30.50595645904541,-32.105961360931396,-120.0
-120.0,-120.0,-120.0,-120.0,-120.0,-20.465938239097596,-21.52593257904053,-23.38681113243103,-24.105963954925535,-26.285949897766113,-27.5260720205307,-29.825917739868164,-30.485938324928284,-32.125932426452636,-33.12597086906433
-120.0,-120.0,-120.0,-120.0,-120.0,-20.886094608306884,-21.22593765258789,-23.64593740463257,-24.085937976837158,-26.82616980075836,-27.225965547561646,-29.84608652114868,-30.465932312011716,-32.565939302444455,-33.02593663215637
-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-33.36595680236816,-33.34593802928924,-120.0,-120.0,-120.0,-33.186047472953796,-120.0
-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-33.325937447547915,-33.30595884799958,-33.26601796150207,-33.22596149921417,-120.0,-120.0
