0,1,2,3,4,5,6,7,8
-50.0,-50.0,-50.0,50.0,-50.0,-50.0,-50.0,-50.0,-50.0
-50.0,-120.0,-50.0,50.0,-120.0,-50.0,-120.0,-50.0,-120.0
-50.0,-120.0,-50.0,50.0,-120.0,-50.0,-50.0,-50.0,-120.0
-50.0,-120.0,-50.0,50.0,-50.0,-50.0,-50.0,-120.0,-120.0
-50.0,-120.0,-50.0,50.0,-50.0,-50.0,-50.0,-50.0,-120.0
-50.0,-120.0,-50.0,50.0,-50.0,-50.0,-50.0,-50.0,-120.0
-50.0,-120.0,-50.0,50.0,-50.0,-50.0,-50.0,-50.0,-120.0
-50.0,-120.0,-50.0,50.0,-50.0,-50.0,-120.0,-50.0,-120.0
-50.0,-120.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-120.0
-50.0,-120.0,-50.0,50.0,-50.0,-50.0,-50.0,-50.0,-120.0
-50.0,-120.0,-50.0,50.0,-50.0,-50.0,-50.0,-50.0,-120.0
-50.0,-120.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-120.0
-50.0,-120.0,-50.0,50.0,-50.0,-50.0,-50.0,-50.0,-120.0
-50.0,-120.0,-50.0,50.0,-50.0,-120.0,-50.0,-50.0,-120.0
30.0,-120.0,-50.0,50.0,-50.0,-50.0,-50.0,-50.0,-120.0
35.0,-120.0,-50.0,-50.0,-120.0,-50.0,-50.0,-50.0,-120.0
-50.0,-120.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-120.0
-50.0,-120.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-120.0
-50.0,-120.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-120.0
30.0,-120.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-120.0
-50.0,-120.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-120.0
30.0,-120.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-120.0
30.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-120.0
30.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-120.0
30.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-120.0
-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-120.0
-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-120.0
-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-120.0
-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-120.0
-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-120.0
-120.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-120.0
-120.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-120.0
