0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
-120.0,-20.01005849838257,-23.145861535072328,-23.925860629081726,-26.105849542617797,-26.42605905532837,-28.765891227722168,-29.185918641090392,-31.365877385139463,-31.76586295604706,-35.605890755653384,-36.04587957382202,-38.225920009613034,-38.42590950965881,-41.12588090896607,-41.38589004993439,-43.205883264541626,-43.4058922290802,-45.46607881069183,-45.68587789058685,-47.7258606338501
-120.0,-20.04589192867279,-21.485874738693237,-23.965864453315735,-25.80587351799011,-26.48595986843109,-28.445875601768492,-29.205873827934266,-31.18586688041687,-31.785870723724365,-34.785905947685244,-36.365948920249934,-38.00592483043671,-38.66588370323181,-40.105906295776364,-42.985897650718684,-120.0,-43.525902290344234,-45.925896496772765,-120.0,-47.68593062400818
-120.0,-20.085872740745543,-21.4658669090271,-23.985896816253664,-25.78588777542114,-26.50605755805969,-28.425868496894836,-29.225883903503416,-120.0,-31.80586283683777,-34.765923824310306,-36.38590567588806,-37.986796646118165,-38.68610991954803,-40.0859165763855,-42.94589626789093,-43.54673701763153,-44.94590713500976,-45.946382384300236,-47.665939025878906,-120.0
-120.0,-20.105891008377075,-21.44592754840851,-24.005900025367737,-25.765884532928467,-26.525867371559144,-28.40586920261383,-29.24589123249054,-120.0,-31.82589253425598,-34.745881185531616,-36.40589566230774,-37.96587010383606,-38.705906662940976,-40.065869774818424,-42.92588058471679,-43.5658824300766,-44.92590585231781,-45.96588529586792,-47.645904717445376,-120.0
-120.0,-20.125869631767273,-21.425863208770753,-24.025856456756593,-25.745907373428345,-26.545903997421263,-28.385891094207764,-29.266067662239074,-31.10587911605835,-31.845905747413635,-34.72588633537293,-36.42589461803436,-37.94589361190796,-120.0,-40.04589154243469,-42.90590143203735,-43.585896916389466,-44.905883655548095,-45.98587039470672,-47.626022548675536,-120.0
-120.0,-20.145882353782653,-21.406110796928406,-24.04587025165558,-25.725876798629763,-26.565867767333984,-28.365859684944155,-29.285876121520996,-31.085874924659727,-31.86586528301239,-34.70607998371124,-36.445873389244085,-37.925898861885074,-38.7460390996933,-40.00590689182282,-41.56589663505554,-120.0,-44.88590564250946,-46.005877046585084,-47.606163258552556,-120.0
-120.0,-20.18590274333954,-21.385870203971862,-24.06588288784027,-25.705861892700195,-26.58586624622345,-28.345859866142273,-29.30586719989777,-31.065868134498594,-31.88585699558258,-34.6858880186081,-36.465867347717285,-37.886786580085754,-38.765881476402285,-39.985894789695735,-42.845875358581544,-43.62587453365326,-44.8658980512619,-46.02587906360626,-47.585896639823915,-120.0
-120.0,-20.205875849723817,-21.366776547431947,-24.085906710624695,-25.685876727104187,-26.605892252922057,-28.325853562355043,-29.325860915184023,-31.025867648124695,-31.905902519226075,-34.665895252227784,-36.48593001365661,-37.865882568359375,-38.78588617324829,-39.96587706089019,-42.825909361839294,-120.0,-44.845896577835084,-46.04615914821625,-47.56590391159058,-120.0
-120.0,-20.22588128566742,-21.346096987724305,-24.10590569496155,-25.66587622642517,-26.625926117897034,-28.305906744003295,-29.345901074409483,-31.005870947837828,-31.925906710624695,-34.625906744003295,-36.50588176727295,-37.84589733600616,-38.80587923526764,-39.94588092803955,-41.62586581230164,-43.66585993766785,-44.82587614059448,-46.066058974266056,-47.54590621471405,-120.0
-120.0,-20.245875430107116,-21.32586356163025,-24.12586968421936,-25.645863857269287,-26.6458838558197,-28.285867128372193,-29.365868282318115,-30.9858594083786,-31.94586046218872,-34.605884976387024,-36.52587199687957,-37.82590761184692,-38.82588218688964,-39.926000890731814,-41.64589126586914,-120.0,-44.805872616767886,-46.085887236595156,-47.525905990600585,-120.0
-120.0,-20.265891222953798,-21.305869464874267,-24.145874047279356,-25.625871357917784,-26.665881547927857,-28.265875806808474,-29.385861830711363,-30.96590213775635,-31.9658558511734,-34.58587153911591,-36.54589116096497,-37.805868935585025,-38.84598643779755,-39.90589708328247,-41.665905632972716,-43.72587013244629,-44.78588715076447,-46.10588687896728,-47.506175570487976,-120.0
