0,1,2,3,4,5
-120.0,-120.0,-21.412488598823547,-120.0,-21.48358139514923,-120.0
-120.0,-20.66499113559723,-120.0,-120.0,-120.0,-120.0
-120.0,-21.369365124702455,-120.0,-120.0,-120.0,-120.0
-20.622578654289246,-21.34499505519867,-120.0,-120.0,-120.0,-120.0
-20.553457288742067,-20.749314503669737,-120.0,-120.0,-120.0,-120.0
-120.0,-120.0,-120.0,-120.0,-120.0,-120.0
-120.0,-20.770244150161744,-120.0,-120.0,-120.0,-120.0
-20.530203561782837,-21.3242853307724,-120.0,-120.0,-120.0,-120.0
-120.0,-120.0,-120.0,-120.0,-120.0,-120.0
-120.0,-120.0,-120.0,-120.0,-120.0,-120.0
-120.0,-120.0,-120.0,-120.0,-120.0,-120.0
-120.0,-120.0,-20.812152667045595,-120.0,-120.0,-120.0
-120.0,-120.0,-120.0,-120.0,-120.0,-120.0
-20.509552726745607,-21.30375792980194,-120.0,-120.0,-120.0,-120.0
-120.0,-120.0,-120.0,-120.0,-120.0,-120.0
-120.0,-120.0,-120.0,-120.0,-120.0,-120.0
-120.0,-120.0,-120.0,-120.0,-20.833966355323792,-120.0
-120.0,-120.0,-120.0,-120.0,-120.0,-120.0
-20.488938670158387,-21.283188190460205,-120.0,-120.0,-120.0,-120.0
-120.0,-120.0,-120.0,-120.0,-120.0,-120.0
-120.0,-120.0,-120.0,-120.0,-120.0,-120.0
-120.0,-120.0,-120.0,-120.0,-120.0,-20.85475959300995
-120.0,-120.0,-120.0,-120.0,-120.0,-120.0
-120.0,-21.26273822784424,-120.0,-120.0,-120.0,-120.0
-20.468410267829896,-120.0,-120.0,-120.0,-120.0,-120.0
-120.0,-120.0,-120.0,-120.0,-120.0,-120.0
-120.0,-120.0,-120.0,-120.0,-120.0,-20.87539361476898
-120.0,-120.0,-120.0,-120.0,-120.0,-120.0
-120.0,-21.24206883430481,-120.0,-120.0,-120.0,-120.0
-20.447340717315672,-120.0,-120.0,-120.0,-120.0,-120.0
-120.0,-120.0,-120.0,-120.0,-120.0,-120.0
-120.0,-120.0,-120.0,-120.0,-120.0,-120.0
-120.0,-120.0,-120.0,-120.0,-120.0,-20.897978682518005
-120.0,-120.0,-120.0,-120.0,-120.0,-120.0
-20.42645233154297,-21.221461009979247,-120.0,-120.0,-120.0,-120.0
-120.0,-120.0,-120.0,-120.0,-120.0,-120.0
-120.0,-120.0,-120.0,-120.0,-120.0,-120.0
-120.0,-120.0,-120.0,-120.0,-120.0,-20.91883006095886
-120.0,-120.0,-120.0,-120.0,-120.0,-120.0
-120.0,-20.405750651359558,-21.20055115222931,-120.0,-120.0,-120.0
-120.0,-120.0,-120.0,-120.0,-120.0,-120.0
-120.0,-120.0,-120.0,-120.0,-120.0,-120.0
-120.0,-120.0,-120.0,-120.0,-120.0,-20.939338879585264
-120.0,-120.0,-120.0,-120.0,-120.0,-120.0
-120.0,-120.0,-120.0,-20.385233244895936,-21.17973952293396,-120.0
-120.0,-120.0,-120.0,-120.0,-120.0,-120.0
-120.0,-120.0,-120.0,-120.0,-120.0,-120.0
-120.0,-120.0,-120.0,-120.0,-120.0,-20.960416831970214
-120.0,-120.0,-120.0,-120.0,-120.0,-120.0
-120.0,-120.0,-120.0,-120.0,-20.237509784698485,-21.158939795494078
-120.0,-120.0,-120.0,-120.0,-120.0,-21.053499703407287
-120.0,-120.0,-120.0,-120.0,-120.0,-21.13702534198761
